CMDLINE C:\Users\anton\AppData\Local\Programs\Python\Python310\python.exe .\held_karp_algorithm.py
MEM 46.257812 1668775868.6515
MEM 46.273438 1668775868.7613
MEM 46.289062 1668775868.8694
MEM 46.300781 1668775868.9776
MEM 46.312500 1668775869.0860
MEM 46.324219 1668775869.1942
MEM 46.339844 1668775869.3035
MEM 46.355469 1668775869.4119
MEM 46.371094 1668775869.5219
MEM 46.386719 1668775869.6295
MEM 46.402344 1668775869.7376
MEM 46.417969 1668775869.8465
MEM 46.433594 1668775869.9566
MEM 46.445312 1668775870.0660
MEM 46.460938 1668775870.1759
MEM 46.468750 1668775870.2852
MEM 46.484375 1668775870.3941
MEM 46.496094 1668775870.5039
MEM 46.507812 1668775870.6122
MEM 46.523438 1668775870.7200
MEM 46.539062 1668775870.8290
MEM 46.554688 1668775870.9362
MEM 46.617188 1668775871.0450
MEM 46.617188 1668775871.1533
MEM 46.617188 1668775871.2616
MEM 46.679688 1668775871.3694
MEM 46.679688 1668775871.4767
MEM 46.679688 1668775871.5856
MEM 46.679688 1668775871.6950
MEM 46.679688 1668775871.8042
MEM 46.687500 1668775871.9132
MEM 46.699219 1668775872.0232
MEM 46.718750 1668775872.1317
MEM 46.738281 1668775872.2405
MEM 46.750000 1668775872.3499
MEM 46.765625 1668775872.4589
MEM 46.773438 1668775872.5667
MEM 46.785156 1668775872.6744
MEM 46.804688 1668775872.7829
MEM 46.820312 1668775872.8934
MEM 46.835938 1668775873.0025
MEM 46.843750 1668775873.1120
MEM 46.863281 1668775873.2209
MEM 46.878906 1668775873.3301
MEM 46.890625 1668775873.4396
MEM 46.906250 1668775873.5482
MEM 46.921875 1668775873.6564
MEM 46.929688 1668775873.7644
MEM 46.945312 1668775873.8712
MEM 46.957031 1668775873.9799
MEM 46.968750 1668775874.0895
MEM 46.980469 1668775874.1978
MEM 47.000000 1668775874.3119
MEM 47.015625 1668775874.4205
MEM 47.031250 1668775874.5295
MEM 47.042969 1668775874.6387
MEM 47.117188 1668775874.7494
MEM 47.117188 1668775874.8577
MEM 47.117188 1668775874.9655
MEM 47.117188 1668775875.0733
MEM 47.117188 1668775875.1825
MEM 47.179688 1668775875.2914
MEM 47.179688 1668775875.3996
MEM 47.179688 1668775875.5099
MEM 47.179688 1668775875.6196
MEM 47.183594 1668775875.7285
MEM 47.195312 1668775875.8369
MEM 47.207031 1668775875.9454
MEM 47.218750 1668775876.0537
MEM 47.230469 1668775876.1622
MEM 47.242188 1668775876.2708
MEM 47.253906 1668775876.3789
MEM 47.269531 1668775876.4871
MEM 47.285156 1668775876.5965
MEM 47.296875 1668775876.7049
MEM 47.304688 1668775876.8127
MEM 47.316406 1668775876.9234
MEM 47.328125 1668775877.0318
MEM 47.343750 1668775877.1408
MEM 47.355469 1668775877.2487
MEM 47.371094 1668775877.3573
MEM 47.386719 1668775877.4662
MEM 47.394531 1668775877.5751
MEM 47.406250 1668775877.6835
MEM 47.414062 1668775877.7937
MEM 47.429688 1668775877.9026
MEM 47.441406 1668775878.0116
MEM 47.457031 1668775878.1195
MEM 47.468750 1668775878.2275
MEM 47.484375 1668775878.3365
MEM 47.496094 1668775878.4464
MEM 47.507812 1668775878.5544
MEM 47.519531 1668775878.6621
MEM 47.531250 1668775878.7715
MEM 47.542969 1668775878.8798
MEM 47.554688 1668775878.9881
MEM 47.617188 1668775879.0978
MEM 47.617188 1668775879.2063
MEM 47.617188 1668775879.3144
MEM 47.617188 1668775879.4234
MEM 47.679688 1668775879.5316
MEM 47.679688 1668775879.6400
MEM 47.679688 1668775879.7468
MEM 47.679688 1668775879.8569
MEM 47.679688 1668775879.9661
MEM 47.687500 1668775880.0755
MEM 47.695312 1668775880.1843
MEM 47.710938 1668775880.2928
MEM 47.726562 1668775880.4019
MEM 47.738281 1668775880.5110
MEM 47.753906 1668775880.6186
MEM 47.765625 1668775880.7279
MEM 47.777344 1668775880.8374
MEM 47.789062 1668775880.9470
MEM 47.804688 1668775881.0565
MEM 47.816406 1668775881.1642
MEM 47.824219 1668775881.2728
MEM 47.835938 1668775881.3816
MEM 47.847656 1668775881.4897
MEM 47.859375 1668775881.5972
MEM 47.875000 1668775881.7070
MEM 47.890625 1668775881.8165
MEM 47.898438 1668775881.9246
MEM 47.917969 1668775882.0337
MEM 47.933594 1668775882.1426
MEM 47.949219 1668775882.2515
MEM 47.964844 1668775882.3594
MEM 47.972656 1668775882.4673
MEM 47.984375 1668775882.5745
MEM 48.054688 1668775882.6834
MEM 48.054688 1668775882.7923
MEM 48.054688 1668775882.9015
MEM 48.054688 1668775883.0103
MEM 48.054688 1668775883.1196
MEM 48.117188 1668775883.2289
MEM 48.117188 1668775883.3366
MEM 48.117188 1668775883.4454
MEM 48.117188 1668775883.5559
MEM 48.121094 1668775883.6651
MEM 50.628906 1668775883.7739
MEM 50.636719 1668775883.8770
MEM 50.648438 1668775883.9843
MEM 50.660156 1668775884.0923
MEM 50.675781 1668775884.2013
MEM 50.691406 1668775884.3103
MEM 50.703125 1668775884.4194
MEM 50.714844 1668775884.5271
MEM 50.726562 1668775884.6363
MEM 50.738281 1668775884.7465
MEM 50.750000 1668775884.8563
MEM 50.761719 1668775884.9658
MEM 50.773438 1668775885.0749
MEM 50.785156 1668775885.1836
MEM 50.792969 1668775885.2959
MEM 50.804688 1668775885.4027
MEM 50.820312 1668775885.5115
MEM 50.828125 1668775885.6193
MEM 50.839844 1668775885.7273
MEM 50.851562 1668775885.8363
MEM 50.863281 1668775885.9446
MEM 50.875000 1668775886.0532
MEM 50.882812 1668775886.1611
